layer_name,file,int8_channels_len,binary_channels_len,int8_weights_shape,int8_weights_dtype,int8_scales_shape,int8_scales_dtype,binary_scales_shape,binary_scales_dtype,binary_bitvec_len,blocksize,codebook_idx_shape,codebook_idx_dtype,codebook_shape,codebook_dtype,original_shape
model.layers.7.self_attn.v_proj,quantized_layers/model__layers__7__self_attn__v_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.7.self_attn.o_proj,quantized_layers/model__layers__7__self_attn__o_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.7.mlp.gate_proj,quantized_layers/model__layers__7__mlp__gate_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.7.mlp.up_proj,quantized_layers/model__layers__7__mlp__up_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.7.mlp.down_proj,quantized_layers/model__layers__7__mlp__down_proj.npz,1,7,"[1, 5632]",int8,[1],float32,[2464],float32,2464,int,[2464],int32,"[256, 256]",float32,tuple
model.layers.8.self_attn.q_proj,quantized_layers/model__layers__8__self_attn__q_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[56],float32,56,int,[56],int32,"[256, 256]",float32,tuple
model.layers.8.self_attn.k_proj,quantized_layers/model__layers__8__self_attn__k_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[56],float32,56,int,[56],int32,"[256, 256]",float32,tuple
model.layers.8.self_attn.v_proj,quantized_layers/model__layers__8__self_attn__v_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.8.self_attn.o_proj,quantized_layers/model__layers__8__self_attn__o_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.8.mlp.gate_proj,quantized_layers/model__layers__8__mlp__gate_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.8.mlp.up_proj,quantized_layers/model__layers__8__mlp__up_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.8.mlp.down_proj,quantized_layers/model__layers__8__mlp__down_proj.npz,1,7,"[1, 5632]",int8,[1],float32,[2464],float32,2464,int,[2464],int32,"[256, 256]",float32,tuple
model.layers.9.self_attn.q_proj,quantized_layers/model__layers__9__self_attn__q_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[56],float32,56,int,[56],int32,"[256, 256]",float32,tuple
model.layers.9.self_attn.k_proj,quantized_layers/model__layers__9__self_attn__k_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[56],float32,56,int,[56],int32,"[256, 256]",float32,tuple
model.layers.9.self_attn.v_proj,quantized_layers/model__layers__9__self_attn__v_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.9.self_attn.o_proj,quantized_layers/model__layers__9__self_attn__o_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.9.mlp.gate_proj,quantized_layers/model__layers__9__mlp__gate_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.9.mlp.up_proj,quantized_layers/model__layers__9__mlp__up_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.9.mlp.down_proj,quantized_layers/model__layers__9__mlp__down_proj.npz,1,7,"[1, 5632]",int8,[1],float32,[2464],float32,2464,int,[2464],int32,"[256, 256]",float32,tuple
model.layers.10.self_attn.q_proj,quantized_layers/model__layers__10__self_attn__q_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[56],float32,56,int,[56],int32,"[256, 256]",float32,tuple
model.layers.10.self_attn.k_proj,quantized_layers/model__layers__10__self_attn__k_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[56],float32,56,int,[56],int32,"[256, 256]",float32,tuple
model.layers.10.self_attn.v_proj,quantized_layers/model__layers__10__self_attn__v_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.10.self_attn.o_proj,quantized_layers/model__layers__10__self_attn__o_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.10.mlp.gate_proj,quantized_layers/model__layers__10__mlp__gate_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.10.mlp.up_proj,quantized_layers/model__layers__10__mlp__up_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.10.mlp.down_proj,quantized_layers/model__layers__10__mlp__down_proj.npz,1,7,"[1, 5632]",int8,[1],float32,[2464],float32,2464,int,[2464],int32,"[256, 256]",float32,tuple
model.layers.11.self_attn.q_proj,quantized_layers/model__layers__11__self_attn__q_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[56],float32,56,int,[56],int32,"[256, 256]",float32,tuple
model.layers.11.self_attn.k_proj,quantized_layers/model__layers__11__self_attn__k_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[56],float32,56,int,[56],int32,"[256, 256]",float32,tuple
model.layers.11.self_attn.v_proj,quantized_layers/model__layers__11__self_attn__v_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.11.self_attn.o_proj,quantized_layers/model__layers__11__self_attn__o_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.11.mlp.gate_proj,quantized_layers/model__layers__11__mlp__gate_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.11.mlp.up_proj,quantized_layers/model__layers__11__mlp__up_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.11.mlp.down_proj,quantized_layers/model__layers__11__mlp__down_proj.npz,1,7,"[1, 5632]",int8,[1],float32,[2464],float32,2464,int,[2464],int32,"[256, 256]",float32,tuple
model.layers.12.self_attn.q_proj,quantized_layers/model__layers__12__self_attn__q_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[56],float32,56,int,[56],int32,"[256, 256]",float32,tuple
model.layers.12.self_attn.k_proj,quantized_layers/model__layers__12__self_attn__k_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[56],float32,56,int,[56],int32,"[256, 256]",float32,tuple
model.layers.12.self_attn.v_proj,quantized_layers/model__layers__12__self_attn__v_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.12.self_attn.o_proj,quantized_layers/model__layers__12__self_attn__o_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
model.layers.12.mlp.gate_proj,quantized_layers/model__layers__12__mlp__gate_proj.npz,1,7,"[1, 2048]",int8,[1],float32,[896],float32,896,int,[896],int32,"[256, 256]",float32,tuple
